Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
09/16/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,6,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,187,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,633,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,1536,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,3658,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,6073,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,7820,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,0-17 yrs,All Race/Ethnicities,All Sexes,545173,8331,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,44,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,157,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,366,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,1035,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,1819,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,2170,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,All Race/Ethnicities,All Sexes,149804,2355,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,8,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,20,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,38,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,112,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,188,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,232,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Asian, non-Latinx",All Sexes,8903,246,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,1,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,7,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,17,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,51,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,85,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,98,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Black, non-Latinx",All Sexes,43530,108,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,3,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,13,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,39,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,133,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,237,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,287,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Latinx,All Sexes,52737,320,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,0,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,2,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,8,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,32,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,74,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,107,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"Other, non-Latinx",All Sexes,8900,134,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,0,
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,9,
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,33,
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,58,
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,136,
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,209,
10/28/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,220,
11/04/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,Unknown,All Sexes,,225,
09/16/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,23,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,82,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,206,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,571,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,1026,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,1226,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,0-4 yrs,"White, non-Latinx",All Sexes,35734,1322,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,46,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,259,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,768,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,1932,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,3292,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,4415,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,All Race/Ethnicities,All Sexes,209779,4678,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,6,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,38,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,104,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,206,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,343,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,439,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Asian, non-Latinx",All Sexes,10628,451,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,4,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,20,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,66,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,143,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,255,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,321,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Black, non-Latinx",All Sexes,66473,348,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,4,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,36,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,115,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,369,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,698,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,955,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,Latinx,All Sexes,85789,1024,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,0,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,0,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,10,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,24,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,63,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,05-11 yrs,"Other, non-Latinx",All Sexes,9113,165,0.0
